elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
2682,1.0,0:44:42,33.8,4.937,40.8866,08/12/19 20:10:36,27.0
2692,1.0,0:44:52,33.8,4.875,40.775,08/12/19 20:10:46,27.0
2702,1.0,0:45:02,33.8,4.812,40.6616,08/12/19 20:10:56,27.0
2712,1.0,0:45:12,33.8,4.75,40.55,08/12/19 20:11:06,27.0
2722,1.0,0:45:22,33.8,4.687,40.4366,08/12/19 20:11:16,27.0
2732,1.0,0:45:32,33.8,4.687,40.4366,08/12/19 20:11:26,27.0
2742,1.0,0:45:42,33.8,4.625,40.325,08/12/19 20:11:36,27.0
2752,1.0,0:45:52,33.8,4.562,40.211600000000004,08/12/19 20:11:46,27.0
2762,1.0,0:46:02,33.8,4.5,40.1,08/12/19 20:11:56,27.0
2772,1.0,0:46:12,33.8,4.5,40.1,08/12/19 20:12:06,27.0
2782,1.0,0:46:22,33.8,4.437,39.9866,08/12/19 20:12:16,27.0
2792,1.0,0:46:32,33.8,4.375,39.875,08/12/19 20:12:26,27.0
2802,1.0,0:46:42,33.8,4.312,39.7616,08/12/19 20:12:36,27.0
2812,1.0,0:46:52,33.8,4.312,39.7616,08/12/19 20:12:46,27.0
2822,1.0,0:47:02,33.8,4.25,39.65,08/12/19 20:12:56,27.0
2832,1.0,0:47:12,33.8,4.187,39.5366,08/12/19 20:13:06,27.0
2842,1.0,0:47:22,33.8,4.125,39.425,08/12/19 20:13:16,27.0
2852,1.0,0:47:32,33.8,4.062,39.425,08/12/19 20:13:26,27.0
2862,1.0,0:47:42,33.8,4.062,39.3116,08/12/19 20:13:36,27.0
2872,1.0,0:47:52,33.8,4.0,39.2,08/12/19 20:13:46,27.0
2882,1.0,0:48:02,33.8,3.9370000000000003,39.086600000000004,08/12/19 20:13:56,27.0
2892,1.0,0:48:12,33.8,3.9370000000000003,39.086600000000004,08/12/19 20:14:06,27.0
2902,1.0,0:48:22,33.8,3.875,38.975,08/12/19 20:14:16,27.0
2912,1.0,0:48:32,33.8,3.8120000000000003,38.975,08/12/19 20:14:26,27.0
2922,1.0,0:48:42,33.8,3.8120000000000003,38.8616,08/12/19 20:14:36,27.0
2932,1.0,0:48:52,33.8,3.75,38.75,08/12/19 20:14:46,27.0
2942,1.0,0:49:02,33.8,3.6870000000000003,38.6366,08/12/19 20:14:56,27.0
2952,1.0,0:49:12,33.8,3.6870000000000003,38.6366,08/12/19 20:15:06,27.0
2962,1.0,0:49:22,33.8,3.625,38.525,08/12/19 20:15:16,27.0
2972,1.0,0:49:32,33.8,3.5620000000000003,38.525,08/12/19 20:15:26,27.0
2982,1.0,0:49:42,33.8,3.5620000000000003,38.4116,08/12/19 20:15:36,27.0
2992,1.0,0:49:52,33.8,3.5,38.3,08/12/19 20:15:46,27.0
3002,1.0,0:50:02,33.8,3.5,38.3,08/12/19 20:15:56,27.0
3012,1.0,0:50:12,33.8,3.4370000000000003,38.1866,08/12/19 20:16:06,27.0
3022,1.0,0:50:22,33.8,3.375,38.1866,08/12/19 20:16:16,27.0
3032,1.0,0:50:32,33.8,3.375,38.075,08/12/19 20:16:26,27.0
3042,1.0,0:50:42,33.8,3.3120000000000003,38.075,08/12/19 20:16:36,27.0
